correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent,compared_with,exp_with,ground_truth_type
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,23,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3633714042409646,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.6477023505407092, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2223102902593687,Smallest_t_sub_and_filter_by_smallest_ratio,23,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_delta_t_and_choose_top_3_delta_t,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_delta_t_and_filter_by_smallest_ratio,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_ratio_and_choose_top_3_ratio,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_ratio_and_filter_by_smallest_delta_t,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_ratio_and_filter_by_smallest_t_sub,24,10**9,Ranking Order,Triads,Triads - Ranking Order
-0.0024577327969897,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.993642150127168,Smallest_t_sub_and_choose_top_3_t_sub,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3633714042409646,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.6477023505407092, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2223102902593687,Smallest_t_sub_and_filter_by_smallest_ratio,24,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_delta_t_and_choose_top_3_delta_t,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_delta_t_and_filter_by_smallest_ratio,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_ratio_and_choose_top_3_ratio,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_ratio_and_filter_by_smallest_delta_t,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_ratio_and_filter_by_smallest_t_sub,25,10**9,Ranking Order,Triads,Triads - Ranking Order
-0.0024577327969897,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.993642150127168,Smallest_t_sub_and_choose_top_3_t_sub,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3633714042409646,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.6477023505407092, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2223102902593687,Smallest_t_sub_and_filter_by_smallest_ratio,25,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_delta_t_and_choose_top_3_delta_t,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_delta_t_and_filter_by_smallest_ratio,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_ratio_and_choose_top_3_ratio,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_ratio_and_filter_by_smallest_delta_t,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_ratio_and_filter_by_smallest_t_sub,26,10**9,Ranking Order,Triads,Triads - Ranking Order
-0.0024577327969897,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.993642150127168,Smallest_t_sub_and_choose_top_3_t_sub,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3633714042409646,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.6477023505407092, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2223102902593687,Smallest_t_sub_and_filter_by_smallest_ratio,26,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_delta_t_and_choose_top_3_delta_t,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_delta_t_and_filter_by_smallest_ratio,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_ratio_and_choose_top_3_ratio,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_ratio_and_filter_by_smallest_delta_t,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_ratio_and_filter_by_smallest_t_sub,27,10**9,Ranking Order,Triads,Triads - Ranking Order
-0.0024577327969897,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.993642150127168,Smallest_t_sub_and_choose_top_3_t_sub,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3633714042409646,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.6477023505407092, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2223102902593687,Smallest_t_sub_and_filter_by_smallest_ratio,27,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_delta_t_and_choose_top_3_delta_t,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_delta_t_and_filter_by_smallest_ratio,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_ratio_and_choose_top_3_ratio,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_ratio_and_filter_by_smallest_delta_t,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_ratio_and_filter_by_smallest_t_sub,28,10**9,Ranking Order,Triads,Triads - Ranking Order
-0.0024577327969897,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.993642150127168,Smallest_t_sub_and_choose_top_3_t_sub,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3633714042409646,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.6477023505407092, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2223102902593687,Smallest_t_sub_and_filter_by_smallest_ratio,28,10**9,Ranking Order,Triads,Triads - Ranking Order
0.0591287575573554,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_delta_t_and_choose_top_3_delta_t,29,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_delta_t_and_filter_by_smallest_ratio,29,10**9,Ranking Order,Triads,Triads - Ranking Order
0.2088459601327256,"[0.3196857639173781, 0.4426666614763166, 0.0860244788153273, 0.0, 0.3499420394203468, 0.5813919491079816, 0.4903871076626937, 0.2578663608560252, 0.2343632682829257, 1.0, 0.1432179434254519, 0.4918040364077386, 0.2507654469586282]",0.4935059304868291,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),29,10**9,Ranking Order,Triads,Triads - Ranking Order
0.3641724875979006,"[0.0, 0.0610141689862492, 0.368078156640452, 0.6249011861576452, 0.5025435595411251, 0.1747089402096209, 0.4169633558840884, 0.3073026827113971, 0.7853455894845132, 0.65377786842974, 1.0, 0.2277901048395086, 0.1520689767990815]",0.2212162008611054,Smallest_ratio_and_choose_top_3_ratio,29,10**9,Ranking Order,Triads,Triads - Ranking Order
